Product,Category,API?,Auth,Docs URL,Verified,Live Credential?,JPD Role,Priority,Notes
Databar,Research/Enrichment,Yes,x-apikey,docs.databar.ai/api-reference/introduction,2026-07-20 200,No,"Company-voice enrichment (A5); competitor data (B1)",P1,"160+ providers. REST + Python SDK + MCP. Best research fit."
you.com Research,Research,Yes,Bearer,api.you.com,2026-07-20,No,"Competitive capture (B1); willingness-to-pay (B3)",P1,"lite = $0.012/call. $100 free credit. Highest-value unwired tool."
TubeOnAI,Discovery/Authority,Unverified,Unknown,none found,2026-08-07 api host real; 2026-08-16 API DOCS FOUND at help.tubeonai.com (app.tubeonai.com base + pk_live_* key),No,"Authority-source transport accelerator (A1c)",P1,"api.tubeonai.com discriminates paths = real API. NO published docs. Ships DORMANT until contract_test passes."
YouTube Data API v3,Discovery/Authority,Yes,API key,developers.google.com/youtube/v3,Standard,No,"Authority harvest (A1b)",P0,"Needs Google Cloud project. Runbook HT-002."
GoHighLevel,Commerce/CRM,Yes,Private Integrations key,highlevel.stoplight.io,2026-08-07 live,Yes,"Offers/checkout/contacts. NEW STORE for JPD",P0,"Tenant co-tenanted with unrelated business - filter all queries."
Stripe,Commerce,Yes,Bearer,stripe.com/docs/api,Standard,Via GHL,"Payment provider (same account as Pimlico)",P0,"Decision 2026-08-07: same account, new GHL store."
OpenRouter,LLM,Yes,Bearer,openrouter.ai/docs,2026-08-07 live,Yes,"All generation (E2), extraction (A1b)",P0,"limit:15/day cap. usage_weekly $0.045."
ElevenLabs,Media/TTS,Yes,xi-api-key,elevenlabs.io/docs,2026-07-31 live,Yes,"Audio deliverables",P3,"Creator plan, 300k chars/mo. voice_id REQUIRED."
Mailgun,Delivery/Email,Yes,Basic,documentation.mailgun.com,2026-07-31 delivered,Yes,"Transactional + fallback buyer email (G4)",P1,"mg.pimlicoservices.com. Key rotated."
SuperCool,Media/Video,Yes,OAuth2.1+PKCE via MCP,MCP/SSE,2026-07-31 live,Yes,"Showcase video (F4)",P2,"~544 credits/8s clip MEASURED (docs claim 68 - wrong 8x)."
WebinarKit,Marketing,Partial,API key,webinarkit.com,2026-07-31 live,Yes,"Registration only (P4.3)",P2,"CANNOT create webinars or upload video via API - UI only."
Success.ai,Outreach,Yes,x-api-key,success.ai,2026-07-31 live,Yes,"Cold email (F6)",P2,"Header is x-api-key NOT Bearer. Throttle enforced in workflow."
Getlead,Lead sourcing,Yes,Bearer JWT,app.getle.ad (internal API),2026-07-31 live,Yes,"Prospect search (F6)",P2,"getle.ad NOT getlead.ad. Internal API, no contract, may change."
Content360,Social,No,Browser,none,2026-07-31 posting verified,Yes,"Social distribution (F6)",P3,"UI automation only. Selectors verified 2026-07-31."
Instantly,Outreach,Gated,Bearer,instantly.ai,2026-07-20,Yes,"Cold email alternative",P4,"API gated to Hypergrowth $97/mo. Growth key cannot work."
Thoughtly,Voice,Unverified,x-api-token+team_id,docs.thoughtly.com/developers,2026-07-20 200,Yes,"Dormant - no consuming code",P4,"AppSumo reviewers report API actions broken on LTD tiers."
Sintra,Content,No,Browser (BLOCKED),none,2026-08-07 Cloudflare-blocked,Yes,"HUMAN connector via Telegram #sintra (F3)",P1,"Blocked from this VPS IP. Caused the LinkedIn incident. NEVER auto-publish."
